Codigo_Local_Operacion,Codigo_Equipo,Codigo_INMETRO,Fecha_Comprobacion_INMETRO,Codigo_OVD,Fecha_Comprobacion_OVD,Pista,Fecha_Paso_Vehicular,Hora_Paso_Vehicular,Secuencial_Imagen,Velocidad_Maxima,Velocidad_Maxima_Tolerada,Velocidad_Medida,Velocidad_Considerada,Tamaño_Vehiculo,Placa_Vehiculo,Tipo_Imagen,Tiempo_Ocupacion,Distancia_Vehiculo_Anterior,Cantidad_Ejes_Vehiculo,Codigo_Clasificacion_Vehiculo,Secuencial_Infraccion,Codigo_Infraccion_Vehiculo,Tiempo_Caracterizar_Inicio_Semaforo_Rojo,Tiempo_Avance_Rojo_Parada_Cebra,Tiempo_Caracterizar_Parada_Cebra,Tiempo_Parada_Vehiculo_Cebra,Path_Imagen
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,052518,416646,060,066,039,035,0168,DRT64D,ZT,00468,01544,,1,184851,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052518_416646_060_066_039_035_0168_DRT64D_ZT_00468_01544__1_184851_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,052518,416648,060,066,039,035,0168,DRT64D,ZT,00468,01544,,1,184852,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052518_416648_060_066_039_035_0168_DRT64D_ZT_00468_01544__1_184852_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,052849,416650,060,066,038,034,0129,IBN25E,ZT,00484,00896,,1,184853,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052849_416650_060_066_038_034_0129_IBN25E_ZT_00484_00896__1_184853_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,052849,416652,060,066,038,034,0129,IBN25E,ZT,00484,00896,,1,184854,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052849_416652_060_066_038_034_0129_IBN25E_ZT_00484_00896__1_184854_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,052853,416654,060,066,037,033,0122,EJH95C,ZT,00468,00571,,1,184855,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052853_416654_060_066_037_033_0122_EJH95C_ZT_00468_00571__1_184855_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,052853,416656,060,066,037,033,0122,EJH95C,ZT,00468,00571,,1,184856,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052853_416656_060_066_037_033_0122_EJH95C_ZT_00468_00571__1_184856_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,052856,416658,060,066,031,028,0297,HON76E,ZT,00780,01447,,2,184857,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052856_416658_060_066_031_028_0297_HON76E_ZT_00780_01447__2_184857_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,053305,416668,060,066,028,025,0404,ITR241,ZT,01092,01619,,2,184862,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_053305_416668_060_066_028_025_0404_ITR241_ZT_01092_01619__2_184862_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,053305,416670,060,066,028,025,0404,ITR241,ZT,01092,01619,,2,184863,30004,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_053305_416670_060_066_028_025_0404_ITR241_ZT_01092_01619__2_184863_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,01012011,M3982023,01012011,1,20240903,053929,416672,060,066,026,023,0396,AOY97B,ZT,01139,01593,,2,184864,30003,1,00,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_053929_416672_060_066_026_023_0396_AOY97B_ZT_01139_01593__2_184864_30003_1_00_10_00.jpg
