Codigo_Local_Operacion,Codigo_Equipo,Codigo_INMETRO,Fecha_Comprobacion_INMETRO,Codigo_OVD,Fecha_Comprobacion_OVD,Pista,Fecha_Paso_Vehicular,Hora_Paso_Vehicular,Secuencial_Imagen,Velocidad_Maxima,Velocidad_Maxima_Tolerada,Velocidad_Medida,Velocidad_Considerada,Tamaño_Vehiculo,Placa_Vehiculo,Tipo_Imagen,Tiempo_Ocupacion,Distancia_Vehiculo_Anterior,Cantidad_Ejes_Vehiculo,Codigo_Clasificacion_Vehiculo,Secuencial_Infraccion,Codigo_Infraccion_Vehiculo,Tiempo_Caracterizar_Inicio_Semaforo_Rojo,Tiempo_Avance_Rojo_Parada_Cebra,Tiempo_Caracterizar_Parada_Cebra,Tiempo_Parada_Vehiculo_Cebra,Path_Imagen
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,52518,416646,60,66,39,35,168,DRT64D,ZT,468,1544,,1,184851,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052518_416646_060_066_039_035_0168_DRT64D_ZT_00468_01544__1_184851_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,52849,416650,60,66,38,34,129,IBN25E,ZT,484,896,,1,184853,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052849_416650_060_066_038_034_0129_IBN25E_ZT_00484_00896__1_184853_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,52853,416654,60,66,37,33,122,EJH95C,ZT,468,571,,1,184855,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052853_416654_060_066_037_033_0122_EJH95C_ZT_00468_00571__1_184855_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,52856,416658,60,66,31,28,297,HON76E,ZT,780,1447,,2,184857,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_052856_416658_060_066_031_028_0297_HON76E_ZT_00780_01447__2_184857_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,53305,416668,60,66,28,25,404,ITR241,ZT,1092,1619,,2,184862,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_053305_416668_060_066_028_025_0404_ITR241_ZT_01092_01619__2_184862_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,53929,416672,60,66,26,23,396,AOY97B,ZT,1139,1593,,2,184864,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_053929_416672_060_066_026_023_0396_AOY97B_ZT_01139_01593__2_184864_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,54436,416679,60,66,26,23,379,BSU201,ZT,998,936,,2,184867,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_054436_416679_060_066_026_023_0379_BSU201_ZT_00998_00936__2_184867_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,54619,416686,60,66,25,22,554,SWO16D,ZT,1451,1306,,3,184870,30004,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_054619_416686_060_066_025_022_0554_SWO16D_ZT_01451_01306__3_184870_30004_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,60801,416700,60,66,22,20,98,CSO806,ZT,702,449,,1,184875,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_060801_416700_060_066_022_020_0098_CSO806_ZT_00702_00449__1_184875_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,61317,416704,60,66,30,27,145,WMR576,ZT,609,862,,1,184877,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_061317_416704_060_066_030_027_0145_WMR576_ZT_00609_00862__1_184877_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,61749,416708,60,66,13,12,420,CHF592,ZT,2247,1109,,2,184879,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_061749_416708_060_066_013_012_0420_CHF592_ZT_02247_01109__2_184879_30003_1_00_10_00.jpg
60,VLS-S0173,M3982023,1012011,M3982023,1012011,1,20240903,65421,416724,60,66,20,18,150,ALJ986,ZT,811,30046,,1,184887,30003,1,0,10,00.jpg,20240903\60_VLS-S0173_M3982023_01012011_M3982023_01012011_1_20240903_065421_416724_060_066_020_018_0150_ALJ986_ZT_00811_30046__1_184887_30003_1_00_10_00.jpg
